Research Title,Author,Abstract,University (Abbreviation),Campus
Awareness and Compliance on Waste Segregation: Implication to a Waste Management Program in a University,"Dolipas, Bretel B.;Ramos, Jennifer Lyn S.;Alimondo, Monica S.;Fulwani, Danni Loven","Proper disposal is among the most important aspects of a waste management program in an educational institution. This study was conducted in a university situated in the northern province of the Philippines and presents students’ level of awareness on waste classification and their compliance level on proper waste segregation. A questionnaire was used to measure the level of awareness, whereas compliance level was measured through the audit of disposed wastes collected on segregated waste bins within the vicinity of the university. An average level of awareness on biodegradable waste was recorded among students, except for third year students who showed low level of awareness on this type of waste. Moreover, regardless of the type of residence, students showed low level of awareness in classifying waste. Generally, students’ compliance level on waste segregation was very low. Registered low levels of awareness among university students may be linked to inadequate awareness campaign of the university, while low compliance level on proper waste segregation somehow calls for augmented forces to ensure strict compliance. Increased information dissemination and education campaign measures are recommended.",BSU,Main
Models of Screening Bachelor of Science in Applied Statistics and Bachelor of Science in Information Technology Freshmen Applicants,"Oryan, Serano L.;Beligan, Salvacion Z.","The study determined the initial mathematical models of screening freshmen applicants for Bachelor of Science in Applied Statistics (BSAS) and Bachelor of Science in Information Technology (BSIT) programs based on their input variables such as IQ and prior achievements in English, Mathematics and Science. It also investigated the impacts of these variables on the students’ college first semester performances during SY 2011-2012. The respondents were classified and profiled based on their data and corresponding models were formulated using Discriminant Analysis method. The difference of the respondents’ college performances were tested using T-test. The profile of the BSIT students showed that group1 has higher IQ and lower grades while group 2 has lower IQ but higher grades. The model yielded showed that grade in Science has the stronger discriminating power. IQ has still the greatest discriminating power. The model’s Y-value of 84.86 serves as the reference value. Group 1 has Y-values higher than 84.86 while group 2 has Y-values lower than 84.86.The profile of the BSAS students showed that, except for their IQ, the two groups are not completely separated. The model showed that grades in English and Mathematics have stronger discriminating powers, next to IQ which has the greatest discriminating power. The model’s Y-value is 104.03 and group 1 has Y-values higher than 104.03 while group 2 has Y-values lower than 104.03. In both BSIT and BSAS, groups 1 and 2 showed no significant difference in their first semester college performances, indicating that at the moment group assignment is yet to be a determinant of academic achievement. The primary implication of the study is that screening can be made objective, efficient and cost-saving by mathematically modeling the process.",BSU,Main
The Mathematics of Maximizing a Parallelepiped Box with Spherical Objects,"Oryan, Serano L.","This study investigated a special case of packing problems involving identical and fixed sized spherical objects and rectangular parallelepiped box. It determined the possible patterns of piling spherical objects into a parallelepiped box so that the box attains its maximum content. The study explored on the different ways of piling and identified those that yield content greater than that in ordinary piling. The effects of the dimensions of a box on whether or not it is possible to obtain a new pile that tends to increase the population density of the box is determined. The results show that there are smooth and behaved piling patterns that tend to increase the population density of the box from its default piling pattern. It is found that if the box can contain at least 5 spheres along its length, at least 3 spheres along its width and at least 4 spheres along its height, then it is possible to modify the default pile pattern so that additional spheres can be fitted into the box. The mathematics of maximizing the content of the box, or by increasing its population density, is given in theorems and corollaries. Also, the proofs of the theorems are supplied to establish their mathematical viability. The results also show that it is possible to generate mathematical models that establish deterministic algorithms of maximizing content, or increasing population density of the parallelepiped box. The mathematical models developed are recommended for use in calculating the maximal content of a given parallelepiped container. Finally, it is recommended that further investigations on the same topic be conducted as the present study is in no way exhaustive.",BSU,Main
Student’s Mathematical Knowledge Construction Patterns in Problem Solving Context,"Oryan, Serano L.","The study investigated the nature of knowledge construction patterns (or thinking schemata) students manifested in solving a non-routine problem, distribution of students according to knowledge construction patterns and their success rates when grouped according to relatedness of course to mathematics and degree of exposure to mathematics. There were 217 respondents from different degree programs and year levels who were given carefully selected non-routine problem which they solved in one hour. 
 
 
 Results showed there exist seven different knowledge construction patterns with varying degrees of success. The proportion of respondents exhibiting successful knowledge construction patterns accounts for 12.9%, partially successful, 48.93% and not successful, 39.17%, thus indicating that large proportion of students need appropriate training in solving non-routine problems to improve their solving abilities. The proportions of respondents manifesting similar knowledge construction patterns across groups, as well as their success rates, are not significantly different. The results indicate that motivation and exposure to routine mathematics are not factors that differentiate between those with successful knowledge construction patterns and those with less successful ones and that students’ mathematics learnings are independent of the development of productive thinking schemata and solving abilities.",BSU,Main
"Readability, content, and mechanical feature analysis of selected commercial science textbooks intended for third grade filipino learners","Bansiong, Apler J.","Textbooks remain as major learning aids in all levels of education worldwide. Thus, textbooks must constantly be subjected to critical analysis in order to establish their curricular usefulness. This paper analyzed four commercial science textbooks designed for third grade Filipino learners. The four textbooks were analyzed according to readability and comprehensibility, content, and mechanical features. Readability was evaluated using popular readability formulas, while comprehensibility was determined using the Sonmez’s formula and the cloze test methods. The content features were the textbooks’ alignment with national science standards, conceptual errors, and level of gender bias. Finally, the mechanical features were focused on printing and lay-out, and handiness of the textbooks. Readability analysis revealed that the textbooks were written three to four grade levels higher, and two to 3 years older than their intended users. The dominant reading ease of the four textbooks ranged from fairly easy to easy, which means that the texts are suitable to sixth and seventh graders. The texts were highly to perfectly aligned with the country’s national science standards. Three textbooks are generally gender fair while one has a low-level male bias. The average error/conceptual problem density is at one error in every six to eight pages. Misidentifications are the most common conceptual problems in the textbooks. Finally, the textbooks are noted very good in printing, layout, paper quality, binding, and handiness.",BSU,La Trinidad
Indigenous Knowledge and Household Food Security: The Role of Roots and Tuber Crops among Indigenous Peoples in the Northern Luzon,"Gayao, Betty T.;Meldoz, Dalen T.;Backian, Grace S.","The indigenous peoples of Northern Philippines have always considered roots and tubers as staple food and vegetable. With the changing lifestyles of the younger generation and the
 lack of documentation, indigenous knowledge on roots and tubers is at risk of disappearing. This study aimed at mapping the knowledge on roots and tubers and assessing the role of
 roots and tubers in household food security among 15 ethno-linguistic indigenous groups in the Philippines. As part of the study, secondary data analysis, key informant interviews,
 focus-group discussion, field visits, administered tests and validation follow-ups were conducted. More than 20 roots and tubers consisting of 10 cultivated species and more than
 10 species of wild roots and tubers were identified. The first include cassava, sweet potato, greater yam, taro, tannia, lesser yam, arrowroot, potato, yacon and yam bean, the second
 nami, elephant yam, giant taro, canna, wild yam bean and wild species of taro, greater yam and lesser yam. Among the indigenous people, the roots and tubers are not only used for
 meeting household food needs, but are also traded, used for medicinal purposes and as gifts and offerings. In the eyes of the people, root and tuber crops farming inculcates the virtues
 of industriousness and self-reliance. Unfortunately, only those born before the 1980’s retain traditional knowledge pertaining to the diversity and variety of roots and tubers, cropping
 practices, and utilisation. The younger generation already exhibited loss in both conceptual knowledge and practical skills regarding roots and tubers.",BSU,La Trinidad
Quantitative Literacy and Reasoning of Freshman Students with Different Academic Background Pursuing STEM-related Programs,"Sibaen, Nick W.","This paper investigates the quantitative literacy and reasoning (QLR) of freshmen students pursuing a Science, Technology, Engineering, and Mathematics (STEM)–related degree but do not necessarily have a Senior High School (SHS) STEM background. QLR is described as a multi-faceted skill focused on the application of Mathematics and Statistics rather than just a mere mastery of the content domains of these fields. This article compares the QLR performance between STEM and non-STEM SHS graduates. Further, this quantitative-correlational study involves 255 freshman students, of which 115 have non-STEM academic background from the SHS. Results reveal that students with a SHS STEM background had significantly higher QLR performance. Nevertheless, this difference does not cloud the fact that their overall QLR performance marks the lowest when compared to results of similar studies. This paper also shows whether achievement in SHS courses such as General Mathematics, and Statistics and Probability are significant predictors of QLR. Multivariate regression analysis discloses that achievement in the latter significantly relates to QLR. However, the low coefficient of determination (10.30%) suggests that achievement in these courses alone does not account to the students’ QLR. As supported by a deeper investigation of the students’ answers, it is concluded that QLR indeed involves complex processes and is more than just being proficient in Mathematics and Statistics.",BSU,Main
Computer-based Learning Material Survey Designed According to the 7E Learning Model with Computer Simulations (CBLM-7ECS),"Abiasen, Jovalson T.;Reyes, Gaudelia A.","This paper attempts to develop and validate an instrument to measure constructs associated with learning 
 materials designed according to the 7E learning model and integrated with computer simulations. The tool 
 was developed through a series of stages that include planning, construction, quantitative evaluation, and 
 validation. The instrument consists of twenty-eight (28) items with four items in each phase of the 7E learning model. The first three items in each phase are focused on assessing the learning material's pedagogical 
 attributes concerning the 7E learning model. In contrast, the last item intends to evaluate the appropriateness and effectiveness of the integrated computer simulations. Cronbach’s alpha validity coefficient based 
 on the evaluation of three (3) subject matter experts reveals that all items are considered valid and relevant 
 at p=0.05 significance. Also, the mean coefficients of the items in the different phases of the learning model 
 are above the critical value, which conforms to higher relevancy and validity. Likewise, as assessed by thirty-two (32) target respondents, the instrument's reliability coefficient is 0.98, higher than the reference value for reliability. These coefficients signify that the scale developed is a suitable tool for assessing learning 
 materials designed according to the 7E learning model.",BSU,Main
TEXTnology: A Managed SMS Knowledge Sharing for Farmers,"Garcia, Paul Jr. G.;Galeon, Dario H.;Palaoag, Thelma D.","The world's largest industry is Agriculture employing more than a billion people. In the Philippines, the Cordillera Administrative Region alone produces 83% of the country's major agricultural crops. Farmers directly play significant role in maintaining the agri-based economy thus access to knowledge products (KP) generated and shared by experts is critical input to their farming practices. Most farmers reside in remote areas with poor internet access moreover, they are not techno-savvy; Short Messaging Service (SMS) still remains as popular ICT tool for information access due to its remote coverage, practicality, affordability, accessibility and popularity. Today, SMS-based applications are on the rise. They could be developed according to needs or can be availed as paid or free web-based platforms. This study described the extent on how farmers use text messaging in information gathering and sharing. Enhancement of the traditional SMS service using new technologies is deemed proper to productively mediate knowledge consumers and knowledge producers. This research aims to develop an SMS system based on the a) 6 levels of SMS-based e-government services b) SMS technology features identified by the United Nations High Commissioner for Refugees (UNHCR), and c) government SMS based regulations and guidelines. The system will be evaluated by the farmers in terms of its perceived usability using the Factors influencing citizen adoption of SMS-based e-government services. The result of this research shall serve as an implementation guide for government, NGOs, extension service providers, system integrators, researchers, and other related groups offering or planning to engage in similar service.",BSU,La Trinidad
"Computer Simulation Integration in Secondary Physics: Understanding its Nature, Impacts, and Challenges","Abiasen, Jovalson T.;Reyes, Gaudelia A.","This paper explored the teaching experiences of physics teachers in integrating computer simulations in their pedagogy to promote a constructivist learning environment. Its objectives are to determine how physics teachers describe computer simulations based on how they are used, how these are embedded in the teaching-learning process, their impact on the teaching-learning process, and the challenges of integrating these into physics teaching. Using the phenomenological design, two themes emerged for the first objectives, which are process-based and system-based. First, the teacher-manipulated with sub-themes of engaging, demonstrating, elaborating, and evaluating, and student-manipulated emerged on how the simulations are used. Second, the impact to teaching generated knowledge-based, skill-based, and value-based learning-based primarily on the three learning domains. Also, respondents emphasized that the integrations of computer simulations are convenience, efficacy, and heterogeneity. Finally, the challenges in the integration process are classified as teacher and school-related. The results showed that teachers are integrating computer simulations differently depending on their resources and the TPACK knowledge.",BSU,Main
Influence of the State Universities and Colleges Accreditation to the Educational Management of the Institution,"Lubrica, Percyveranda A.;Botengan, Desiree F.;Feliciano, Esper L.;Manas, Froilan B.","The foremost intent of the study was to determine how accreditation has influenced the state colleges and universities of the Cordillera Administrative Region in their educational management. There were six participating institutions—Abra State Institute of Science and Technology (ASIST), Apayao State College (ASC), Benguet State University (BSU), Ifugao State University (IFSU), Kalinga State College (KASC), and Mt. Province State Polytechnic College (MPSPC) - with Bachelor of Elementary Education and Secondary Education Programs that were granted Level II and III status. For the extent of practice of the accreditation processes and the extent of influence of the accreditation, a questionnaire was used. Evaluated were: the Vision, Mission, Goals, and Objectives (VMGO); Organization and Governance; Academic Program; Faculty; Students; Library; Physical Plants and Facilities; and Administration. The responses were treated according to the group of randomly selected students, total enumeration of Teacher Education Faculty members, and Teacher Education Dean and/or Vice President for Academic Affairs (VPAA). Findings showed that: In general, there is a solid ground for both students and teachers in the extent of practice of the accreditation processes as it is consistent that, in all areas, the indicators were found to be highly practiced. The Deans and the VPAAs, however, claim that the accreditation processes were very highly practiced. Specifically asserted by the students, the least practiced processes were found along Organization and Governance. The teachers’ responses varied from the students as more of the practiced processes were along Organization and Governance, Academic Program, Faculty, Students, Library, and Physical Plants and Facilities. The Deans and the VPAAs, on the other hand, found all the processes in all areas as very highly practiced. For the extent of influence, a common pattern is shown by both teachers and students. In general, both agree that the accreditation processes highly influenced the educational management across institutions, while the Deans and the VPAAs agree that the accreditation processes had a very high influence on their educational management. Specifically among the students, all areas were found to be highly influential, while among the teachers, very highly influential areas were found along Academic Program and Students. Among the VPAAs, except for Faculty where the influence is high, all the other areas were proven to have very high influence on the Educational Administration.",BSU,La Trinidad
Higher order thinking skills and academic performance in physics of college students: A regression analysis,"Ramos, Jennifer Lyn S;Dolias, Bretel B.;Villamor, Brenda B.","The study determined the relationship between higher order thinking skills (HOTS) of students and the academic performance in physics. The research was conducted at Benguet State University during the school year 2010-2011 and respondents were students enrolled in Physics. Results show that 49.5% of female students have average HOTS level on analysis while 54.4% of male students have below average level. On comparison, almost 50% of both male and female students have below average level while more than half of male and female students have average level on inference. Almost half of male students and female students have average level of HOTS on evaluation. Male and female students have similar level of HOTS on all four areas. Moreover the HOTS level on analysis, comparison and evaluation significantly influence the physics performance of male students while the HOTS level on analysis, inference and evaluation significantly influence the physics performance of female students",BSU,Main
Contextualizing teaching practices in a diversified classroom: An assessment,"Lubrica, Percyveranda;Montemayor, Janet Lynn;Angiwan, Evelyn;Capili, Arnulfo","Managing diverse populations is one great challenge facing Philippine society. Educators affirm that the classroom is diverse, but continue to treat all learners alike while paying lip service to the principle of diversity. This study looks into the extent by which teachers contextualize teaching and learning practices amidst diversity in cognitive preference modality and personal, academic status, demographic profile, and socio-economic condition. Teacher Education students from the six state universities and colleges in the Cordillera Administrative Region, Philippines (n=715) were randomly selected to assess teachers regarding their level of effectiveness in managing diversity in various areas of pedagogical approaches while teachers (n=45) were purposively selected to validate data through a focused group discussion. Results show that teachers were competent but insufficiently observe students’ preferred teaching practices (mean=3.29, SD=.37), management of diverse learning environment (mean=3.21; SD=.46), and accommodation of diversity (mean=3.24, SD=.47). Analysis of variance and t-test for independent means revealed significant differences (p",BSU,La Trinidad
SMS-Based ICT Tool for Knowledge Sharing in Agriculture,"Galeon, Dario H.;Garcia, Paul Jr. G.;Palaoag, Thelma D.","Agriculture is the world's major industry with 60% of the global population depending on it. Being the major source of livelihood, agriculture is challenged by issues such as food shortage, food security problems, climate change affecting crop yield, land degradation, decrease of crop varieties and others. There is a huge amount of knowledge products generated by the government agencies, local universities, private civic groups, local government units and non-government organizations (NGOs) to address these issues however the information has difficulty reaching the intended farm practitioners as end-user. With this aforesaid challenge, a technology based information sharing and access among stakeholders such as agricultural knowledge experts (academe) and knowledge end-users (farmers) is a dire need. Information and Communications Technology (ICT) has always been an indispensable tool that can provide an environment where knowledge generators and knowledge users can use to exchange information any time and place. Retooling and scaling up the process how information and knowledge products is being accessed and shared is indeed a critical consideration. Using descriptive research and qualitative approach, this study determined an ICT tool, a managed SMS-based system to be highly acceptable to the identified stakeholders as an information sharing medium and model and is therefore recommended for use. The result of this research shall serve as an implementation guide for government, non-government organizations(NGOs), extension service providers, system integrators, researchers, and other related groups offering or planning to engage in similar service.",BSU,La Trinidad
Interactive Science Devices: Curiosity And Influence On Science Performance Of Students,"Dolipas, Bretel B.;Lubrica, Joel V.;Ramos, Jennifer Lyn;Abiasen, Jovalson T.","The study determined the relationship between higher order thinking skills (HOTS) of students and the academic performance in physics. The research was conducted at Benguet State University during the school year 2010-2011 and respondents were students enrolled in Physics. Results show that 49.5% of female students have average HOTS level on analysis while 54.4% of male students have below average level. On comparison, almost 50% of both male and female students have below average level while more than half of male and female students have average level on inference. Almost half of male students and female students have average level of HOTS on evaluation. Male and female students have similar level of HOTS on all four areas. Moreover the HOTS level on analysis, comparison and evaluation significantly influence the physics performance of male students while the HOTS level on analysis, inference and evaluation significantly influence the physics performance of female students.",BSU,Main
"""Concern for Community"": Case of cooperatives in the Cordillera Region","Launio, Cheryll C.;Sotelo, Marycris","One area where cooperatives supposedly differ from corporate capitalism is their higher level of concern for the community beyond its membership base. ICA seventh principle is thus “concern for community.” Philippine cooperative law mandates cooperatives to allot at least three percent of their yearly net surplus for community development funds (CDF). This study presents how cooperatives build and use their CDF and determine their constraints in conducting community projects. It used data from a mailed survey and annual performance reports. Findings indicate high compliance in allocating for CDF but a relatively low actual utilization rate, especially among small cooperatives. Actual CDF spending is highly positively associated with total assets, net surplus, cooperative size, and the total number of cooperative members. Common projects implemented are mostly in the area of education, health, and the environment. Perceived challenges in implementing community development projects include limited funds, lack of member-participation, poor coordination with partner organizations, and lack of a concrete plan for using CDF. The study recommends strengthened support for cooperatives to plan for intentional CDF use through capacity building on project planning and management, more functional monitoring and evaluation of development plans, and social audit reports, and further impact research.",BSU,La Trinidad
"Predicting success in teacher education: Revisiting the influence of high school GPA, admission, and standardized test scores on academic and licensure performance","Bansiong, Apler J.;Balagtey, Janet Lynn M.","This predictive study explored the influence of three admission variables on the college grade point average (CGPA), and licensure examination ratings of the 2015 teacher education graduates in a state-run university in Northern Philippines. The admission variables were high school grade point average (HSGPA), admission test (IQ) scores, and standardized test (General Scholastic Aptitude-GSA) scores. The participants were from two degree programs–Bachelor in Elementary Education (BEE) and Bachelor in Secondary education (BSE). The results showed that the graduates’ overall HSGPA were in the proficient level, while their admission and standardized test scores were average. Meanwhile, their mean licensure examination ratings were satisfactory, with high (BEE–80.29%) and very high (BSE–93.33%) passing rates. In both degree programs, all entry variables were significantly correlated and linearly associated with the CGPAs and licensure examination ratings of the participants. These entry variables were also linearly associated with the specific area GPAs and licensure ratings, except in the specialization area (for BSE). Finally, in both degrees, CGPA and licensure examination ratings were best predicted by HSGPA and standardized test scores, respectively. The implications of these findings on admission policies are herein discussed.",BSU,La Trinidad
Library Usage by Faculty Members of Benguet State University,"Cabfilan, Noel W.;Ricardo, Marjorie C.","The study's objectives were to determine Benguet State University faculty members' general impression of the library resources and their usage of these resources. To answer these objectives, questions on faculty members' satisfaction with the library resources, frequency of usage, purposes of using the library resources, reasons for not using the library resources, reasons of not being able to find the resources they are looking for in the library and suggestions for library development in terms of library resources were asked.
 It was found out that the majority of the faculty members have used the library resources at least once-a-term. On the other hand, those who did not use the library resources cited the Internet as the source of their information needs. Faculty members often used library resources for instructional support purposes, and book collections to be the most used library resources. Faculty members said that they partly found the library resources they were looking for during their last visit to the library. Furthermore, they also said that usually they rarely saw the library resources that they were looking for. They specified that the University Library has no resource/s on a particular subject because they could not find or get the resources they need.
 Moreover, faculty members would like to have more Internet access (Terminals/Wi-Fi) in the library. In terms of subject coverage, faculty members would like the Serials resources to be improved the most. Faculty members rated the library resources from Average to Good in terms of Recency, Relevance/Use, and Adequacy. Except for Optical Discs, which was rated Fair for its Adequacy. Generally, it was found that faculty members are satisfied with the library resources of the library.
 When compared according to employment status, faculty members use the library resources once a month and their frequency of use and satisfaction level of the library resources have no significant differences compared to sex, employment status, and rank. On the contrary, differences were found when the faculty members' level of satisfaction was compared according to College/Institute. The same was found when faculty members' frequency of use of the library resources was compared according to College/Institute.",BSU,La Trinidad
Regression Analysis of the Balili River's Biological to Physio-Chemical Characteristics,"Dolipas,Bretel B.;Abiasen, Jovalson T.;Lubrica, Joel V.;Ramos , Jennifer Lyn S.","The study determined the interrelated physico-chemical characteristics of the Balili River water system and the regression analysis of the dissolved oxygen and biological oxygen demand with the derived interrelated physico-chemical factors of the Balili river water system. Secondary data regularly monitored by the Environmental Management Bureau of the Department of Environment and Natural Resources, Cordillera Administrative Region was used in the Study. Factor and Regression analyses were the statistical tools used in the study",BSU,Main
Math Teaching Readiness of Secondary Mathematics Pre-service Teachers in the Cordillera Administrative Region,"Madinno, Carmelo W.","This study investigated the readiness of Secondary Mathematics Pre-service Teachers (SMPTs) in teaching mathematics. This was done by triangulating their academic performance, student-teaching performance, and perceived readiness in teaching mathematics. The study was conducted with 89 SMPTs who recently completed their mathematics teaching degree requirements from seven Teacher Education Institutions in the Cordillera Administrative Region. Results showed that academically, the SMPTs excelled in their ICT-related subjects followed by their Education and other basic subjects, while lowest grades were obtained in the advanced and basic math subject categories. In terms of their student-teaching performance, the SMPTs obtained the highest ratings for teacher’s personality followed by communication skills and student-teacher relationship, whereas lowest ratings were in the areas of questioning skills, lesson integration, and teaching method. Moreover, the SMPTs perceived the highest level of readiness for learning environment and pedagogical knowledge, while they scored lowest for community linkages and content knowledge components of the National Competency-Based Teacher Standards (NCBTS) and Technological Pedagogical and Content Knowledge (TPACK) constructs, respectively. The study shows the lack of readiness of the SMPTs in teaching mathematics based from the national frameworks of math teacher education and basic education in the country.",BSU,Main
Performance of Trichoderma koningii and Bacillus sp. As Potential Biocontrol Agents against Fusarium Wilt (Fusarium oxysporum) of Sweetpotato (Ipomoea batatas),"Galian, Jophr L.;Nagpala, Asuncion L.","Fusarium wilt (Fusarium oxysporum) is now becoming a big concern in Cordillera Administrative Region, Philippines affecting different crops including sweetpotato. In effort to help find solution to this problem, the study documented the biological control ability of Trichoderma koningii and Bacillus sp. against Fusarium wilt of sweetpotato through bioassay and pot experiment. Result of the bioassay test in the laboratory showed significant results. The growth of F. oxysporum was inhibited by Benomyl (reference fungicide) and T. koningii. The widest inhibition zone of 29 mm after three days was observed in Benomyl followed by T. koningii with 20 mm. Bacillus sp. gave the least inhibition zone of 3 mm. In the pot experiment, sweetpotato grown in soils amended with T. koningii had the lowest percent infection and lowest severity of diseases. At the end of the cropping season, populations of Bacillus and F. oxysporum decreased while T. koningii increased. The highest reduction of Fusarium spores from 1.8 x 106 to 9.50 x 105 was noted in soils amended with T. koningii, followed by Benomyl from 1.8 x 106 to 1.40 x 105 cfu/ml. Results consistently showed better performance of T. koningii as sole inoculant in inhibiting Fusarium wilt and even better than Benomyl, thus should be encouraged for farmers to adopt.",BSU,La Trinidad
"Evaluation and Performance of Different Bush Snap Beans (Phaseolus vulgaris L.) Varieites under Organic Farming System in La Trinidad, Benguet","Kimeu, Amelia M.","More people are advocating organic farming and products for food safety, wellness and nutrition, as well as to favor balance and ecologically-sound environment. With few crops being evaluated under organic farming system, this study was conducted to evaluate the performance of seven bush snap bean varieties (‘Bokod’, ‘Sablan’, ‘French Bean’, ‘FB Claudine’, ‘Landmark’, ‘Pencil Bean’, and ‘Blue Lake 274’ as the check variety) under organic farming system in La Trinidad, Benguet. Parameters such as maturity, pods and seeds size were evaluated. ‘Blue Lake 274’ produced the biggest pods and seeds in terms of length and width, while ‘Landmark’ had the heaviest seeds. Marketable seed yield and ROI was highest in ‘Bokod’ and ‘Sablan’ varieties, thus, show potential for organic production.",BSU,La Trinidad
"Field Performance of Strawberry (Fragaria x ananasa Duch) Varieties 'Sweet Charlie' and 'Festival' Grown from Different Sub-Cultured Tissue Culture Meristem in La Trinidad, Benguet","Dumaslan, Milagros R.;Kilakil, Jemma Rose M.","The field performance of two strawberry (Fragaria x ananasa Duch) varieties ‘Sweet Charlie’ and ‘Festival’ were investigated using various sub-cultured tissue culture meristem grown in La Trinidad, Benguet condition. ‘Sweet Charlie’ plants from sub-culture (S) 2 to 8 were the earliest to produce its first harvestable fruits from transplanting. Longer days were needed by plants from S9 and S10 in terms of days from transplanting to flowering and from flowering to fruit set. Longest fruit were observed from plants in S10, while comparative equational diameter were observed from various sub-cultures of ‘Sweet Charlie’, except S9 which was observed to have smaller diameter. Sweetest fruits were gathered from plants in S2. In ‘Festival’ variety, plants from S3, S5 and S6 were the earliest to produce the first harvestable fruits from fruit set. Longer fruits were observed from S2-S5 and S8, while the sweetest fruits were taken in plants from S10, comparable to S3 to S9. In terms of yield, fruits from S3 had the highest marketable yield, comparable to that from S4, S5, and S8. Non-marketable yield was also highest in plants from S3, comparable to that from S5, S7, and S9.",BSU,La Trinidad
Factors Influencing Mathematics Teaching as a Career Choice (FIMT-Choice): An Instrument Development and Validation,"Madinno, Carmelo W.","The study developed and validated an instrument that assess the motivations of secondary mathematics pre-service teachers (SMPTs) in choosing mathematics teaching as their career, hereto referred as Factors Influencing Mathematics Teaching as a Career Choice (FIMT-Choice). The study adopted items from Factors Influencing Teaching as a Career Choice (FIT-Choice) instrument by Watt and Richardson and calibrated or added items suited to the local area. The notion that content mathematics could be among the motivations of secondary pre-service teachers in choosing math-teaching career was also considered. The study generated 56 final items in the FIMT- Choice instrument, which were validated among 171 secondary mathematics pre-service teachers (SMPTs) in two prominent teacher education institutions in the Cordillera Administrative Region, Philippines. Statistical tools such as Cronbach’s Alpha, Bartlett's Test of Sphericity, Kaiser-Meyer-Olkin Measure of Sampling Adequacy and the Principal Component Factor Analysis were used to establish the reliability and validity of the instrument. The results suggest that the SMPTs consider 10 valid and reliable constructs in choosing mathematics teaching as their career. Particularly, the SMPTs separate the mathematics, the teaching, and the combined mathematics teaching aspects in their motivations in entering the mathematics-teaching career. Thus, the FIMT-Choice Scale assess more specific areas of motivations in choosing mathematic- teaching as a career among SMPTs compared with the FIT-Choice Scale by Watt and Richardson. Hence, the FIMT- Choice Scale is a more precise instrument in exploring the motivations of SMPTs in entering the methematics teaching career.",BSU,Main
Exploring the Gap Between Framework and Practice: A Student-Teaching Experience of the Secondary Mathematics Pre-service Teachers,"Madinno, Carmelo W.","Educators and researchers stress the importance of student teaching in teacher preparation since the pre-service teachers are given the opportunity and the challenge to put into practice the different concepts and theories they acquired from their academic courses under the guidance of a professional teacher. The study was conducted to assess the student teaching experiences of the secondary mathematics pre-service teachers (SMPTs). The study used an explanatory design model, which is a mixture of quantitative and qualitative approaches. The quantitative approach involved the analysis of the actual teaching ratings and comments/suggestions given by the mentoring teachers of the SMPTs, while the qualitative approach involved the conduct of a one-on-one interview to purposively chosen participants to support the quantitative results. The study involved 73 graduating SMPTs from seven selected public and private Teacher Education Institutions (TEIs) in the Cordillera Administrative Region (CAR). The results indicate the strengths of the SMPTs as well as their shortcomings and challenges during their student-teaching experience. For instance, classroom management, teaching without the supervision of a cooperating teacher and impromptu teaching were among the problems that emerged in the duration of their student- teaching. These results are important in the improvement of the secondary mathematics teachers' preparation program, particularly in their student teaching experience.",BSU,Main
"Effect of teacher-made narrative fiction (TMNF) about covalent bonding on students’ achievement, retention, and interest","Wadasen, R. F.;Lubrica, J.V.","To investigate how science narratives affect learning in Grade 9 Chemistry, specifically on covalent bonding, the authors developed a science narrative fiction. Subsequently, this teacher-made narrative fiction (TMNF) was utilized in order to determine its influence on the achievement, retention and interest levels toward covalent bonding and toward Chemistry, in general. A quasi-experimental pre-test/post-test design was utilized. Results showed that the students exposure to the TMNF can increase levels of achievement, retention and interest in learning covalent bonding and towards Chemistry. They also showed that students have a positive perception toward TMNF. It can be concluded that students can benefit from being exposed to TMNF along achievement, retention, and interest levels; and that, the positive perception of the students is indicative of their enthusiasm towards the use of it. TMNF may be adapted in the classroom together with expository texts and other relevant teaching-learning strategies. School heads and administrators may empower science teachers to create their own narratives by providing an avenue for professional development in line with narrative writing which can lead to the creation of a shared resource for the teaching-learning community.",BSU,Main
Information and Communication Technology (ICT) Through PowerPoint Presentation:A Tool in Enhancing Teaching-Learning Process,"Dolipas, Bretel B.;Pakipac, Kenneth B.;Samuel, Freda Kate D.","The study determined the performance levels in analytic geometry, physics, and statistics of students who had used Information and Communication Technology (ICT) through PowerPoint presentation (PPT) as a tool in enhancing the teaching-learning process. The study also compared the performance levels in analytic geometry, physics, and statistics when students were grouped according to sex and according to the type of learning process used. Results of the study showed performance levels in analytic geometry, Physics, and Statistics of both males and females were satisfactory. Higher performance levels in mathematics problem solving aspect, Statistics concept, and Statistics overall were observed for students who used ICT in their learning process compared to students using the conventional method of teaching. In Physics, performance levels in the concept aspect, the problem solving aspect, and overall performance were all satisfactory regardless of the learning method used. Further research is suggested to verify the results of the study.",BSU,Main
